རྒྱ་གར་,སྐད་,དུ།,བྷ་ག་ཝ་ཏི་པྲཛྙཱ་པ་ར་མི་ཏ་ཧྲྀ་ད་ཡ།,བོད་,སྐད་,དུ།,བཅོམ་ལྡན་འདས་མ་,ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ,འི་,སྙིང་པོ།,བམ་པོ་,གཅིག་,གོ།,,,,,,,,,,,,,,,,,,,,,,
gyakar,ké,tu,bhagavati prajnya paramita hridaya,pö,ké,tu,chomden dema,sherab,kyi,pharol,tu,chinpa,'i,nyingpo,pampo,chik,ko,,,,,,,,,,,,,,,,,,,,,,
India,language,TO,bhagavatï prajpäramitä hridaya,Tibet,language,TO,Bhagavati,Prajñä,OF,other shore,TO,gone,OF,heart,fascicle,one,END,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
འདི་སྐད་,བདག་,གིས་,ཐོས་པ་,དུས་,གཅིག་,ན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diké,da,ki,thöpa,tü,chik,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thus,I,SUBJ,heard,time,one,TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
བཅོམ་ལྡན་འདས་,རྒྱལ་པོ འི་ ཁབ་,བྱ་རྒོད་,ཕུང་པོ,འི་,རི་,ལ་,དགེ་སློང་,གི་,དགེ་འདུན་,ཆེན་པོ་,དང་།,བྱང་ཆུབ་ སེམས་དཔ,འི་,དགེ་འདུན་,ཆེན་པོ་,དང་,ཐབས་ཅིག་,ཏུ་,བཞུགས་,ཏེ།,,,,,,,,,,,,,,,,,,,
chomdendé,gyalpo'i khab,chagö,phungpo,'i,ri,la,gelong,ki,gendün,chenpo,tang,changchub sempa,'i,gendün,chenpo,tang,thap chik,tu,zhuk,té,,,,,,,,,,,,,,,,,,,
Bhagavan,Rajagriha,vulture,mass,OF,mountain,TO,monk,OF,community,great,and,bodhisattva,OF,community,great,and,together,OF,dwell,THEN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ,འི་,ཚེ་,བཅོམ་ལྡན་འདས་,ཟབ་མོ་,སྣང་བ་,ཞེས་ བྱ་བ,འི་,ཆོས་,ཀྱི་,རྣམ་གྲངས་,ཀྱི་,ཏིང་ངེ་འཛིན་,ལ་,སྙོམས་པ ར་ ཞུགས་,སོ།།,,,,,,,,,,,,,,,,,,,,,,,,
té,'i,tsé,chomdendé,zabmo,nangwa,zhe chawa,'i,chö,kyi,namtrang,kyi,ting ngédzin,la,nyompa r zhuk,so,,,,,,,,,,,,,,,,,,,,,,,,
that,OF,time,Bhagavan,profound,perception,called,OF,phenomena,OF,category,OF,concentration,TO,absorbed,END,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡང་,དེ,འི་,ཚེ་,བྱང་ཆུབ་ སེམས་དཔའ་,སེམས་དཔའ་ ཆེན་པོ་,འཕགས་པ་,སྤྱན་རས་གཟིགས་ དབང་ཕྱུག་,ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ,ཟབ་མོ,འི་,སྤྱོད་པ་,ཉིད་,ལ་,རྣམ་པ ར་,བལྟ་,ཞིང་,,,,,,,,,,,,,,,,,,,
yang,té,'i,tsé,changchub sempa,sempa chenpo,phakpa,chenrezik wangchuk,sherab,kyi,pharol,tu,chinpa,zabmo,'i,chöpa,nyi,la,nampa r,ta,zhing,,,,,,,,,,,,,,,,,,,
and,that,OF,time,bodhisattva,mahasattva,arya,Avalokiteshvara,wisdom,OF,other shore,TO,gone,profound,OF,practice,itself,TO,in detail,look,and,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕུང་པོ་,ལྔ་པོ་,དེ་དག་,ལ་,ཡང་,རང་བཞིན་,གྱིས་,སྟོང་པ,ར་,རྣམ་པ ར་,བལྟ,འོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phungpo,ngapo,tetak,la,yang,rangzhin,kyi,tongpa,r,nampar,ta,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregate,the five,those,TO,also,nature,SUBJ,empty,TO,in detail,look,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་ནས་,སངས་རྒྱས་,ཀྱི་,མཐུ,ས།,ཚེ་ དང་ ལྡན་པ་,ཤཱ་རིའི་བུ,ས་,བྱང་ཆུབ་ སེམས་དཔའ་,སེམས་དཔའ་ ཆེན་པོ་,འཕགས་པ་,སྤྱན་རས་གཟིགས་ དབང་ཕྱུག་,ལ་,འདི་སྐད་ ཅེས་,སྨྲས་,སོ།།,,,,,,,,,,,,,,,,,,,,,,,,
tené,sangyé,kyi,thü,,tsé tang denpa,sharipü,,changchub sempa,sempa chenpo,phakpa,chenrezik wangchuk,la,diké ché,mé,so,,,,,,,,,,,,,,,,,,,,,,,,
then,Buddha,OF,power,SUBJ,venerable,Shariputra,SUBJ,bodhisattva,mahasattva,arya,Avalokiteshvara,TO,in these words,said,END,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
རིགས་,ཀྱི་,བུ,འམ་,རིགས་,ཀྱི་,བུ་མོ་,གང་ ལ་ལ་,ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ་,ཟབ་མོ,འི་,སྤྱོད་པ་,སྤྱད་པ,ར་,འདོད་པ་,དེ,ས་,ཇི་ལྟར་,བསླབ་པ,ར་,བྱ།,དེ་སྐད་ ཅེས་,སྨྲས་པ་,དང་།,,,,,,,,,,,,
rik,kyi,pu,'am,rik,kyi,pumo,gang lala,sherab,kyi,pharol,tu,chinpa,zabmo,'i,chöpa,chepa,r,döpa,té,,chitar,labpa,r,cha,teké ché,mepa,tang,,,,,,,,,,,,
lineage,OF,son,OR,lineage,OF,daugther,any,wisdom,OF,other shore,TO,gone,profound,OF,activity,practice,TO,wishes,that,SUBJ,how,train,TO,do,in these words,said,and,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
བྱང་ཆུབ་ སེམས་དཔའ་,སེམས་དཔའ་ ཆེན་པོ་,འཕགས་པ་,སྤྱན་རས་གཟིགས་ དབང་ཕྱུག་,གིས་,ཚེ་ དང་ ལྡན་པ་,ཤཱ་ར་དྭ་ཏི འི་ བུ་,ལ་,འདི་སྐད་ ཅེས་,སྨྲས་,སོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changchub sempa,sempa chenpo,phakpa,chenrezik wangchuk,ki,tsé tang denpa,sharadata 'i pu,la,diké ché,mé,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bodhisattva,mahasattva,arya,Avalokiteshvara,SUBJ,venerable,Sharadvatiputra,TO,in these words,said,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤཱ་རིའི་བུ་,རིགས་,ཀྱི་,བུ,འམ་,རིགས་,ཀྱི་,བུ་མོ་,གང་ ལ་ལ་,ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ་,ཟབ་མོ,འི་,སྤྱོད་པ་,སྤྱད་པ,ར་,འདོད་པ་,དེ,ས་,འདི་ལྟར་,རྣམ་པ ར་,བལྟ་བ,ར་,བྱ་,སྟེ།,,,,,,,,,,,,
sharipu,rik,kyi,pu,'am,rik,kyi,pumo,gang lala,sherab,kyi,pharol,tu,chinpa,zabmo,'i,chöpa,chepa,r,döpa,té,,ditar,nampa r,tawa,r,cha,té,,,,,,,,,,,,
Shariputra,lineage,OF,son,OR,lineage,OF,daugther,any,wisdom,OF,other shore,TO,gone,profound,OF,activity,practice,TO,wishes,that,SUBJ,like this,in detail,look,TO,do,THEN,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕུང་པོ་,ལྔ་པོ་,དེ་དག་,ཀྱང་,རང་བཞིན་,གྱིས་,སྟོང་པ,ར་,རྣམ་པ ར་,ཡང་དག་པ,ར་,རྗེས་ སུ་,བལྟ,འོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,
phungpo,ngapo,tetak,kyang,rangzhin,kyi,tongpa,r,nampa r,yangtakpa,r,je su,ta,'o,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregate,five,those,also,nature,SUBJ,empty,TO,in detail,perfect,TO,afterwards,look,END,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གཟུགས་,སྟོང་པ,འོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuk,tongpa,'o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form,empty,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྟོང་པ་ ཉིད་,གཟུགས་,སོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tongpa nyi,zuk,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emptiness,form,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གཟུགས་,ལས་,སྟོང་པ་ ཉིད་,གཞན་,མ་ ཡིན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuk,lé,tongpa nyi,zhen,ma yin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form,FROM,emptiness,other,is not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྟོང་པ་ ཉིད་,ལས་,ཀྱང་,གཟུགས་,གཞན་,མ་ ཡིན་,ནོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tongpa nyi,lé,kyang,zuk,zhen,ma yin,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emptiness,FROM,also,form,other,is not,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་ བཞིན་དུ་,ཚོར་བ་,དང་།,འདུ་ཤེས་,དང་།,འདུ་བྱེད་,དང་།,རྣམ་པར་ ཤེས་པ་,རྣམས་,སྟོང་པ,འོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te zhintu,tsorwa,tang,dushé,tang,duché,tang,nampar shepa,nam,tongpa,'o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
similarly,feeling,and,discrimination,and,compositional factors,and,consciousness,all,empty,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤཱ་རིའི་བུ།,དེ་ལྟར་,ཆོས་,ཐམས་ཅད་,སྟོང་པ་ ཉིད་,དེ།,མཚན་ཉིད་,མེད་པ།,མ་ སྐྱེས་པ།,མ་ འགགས་པ།,དྲི་མ་,མེད་པ།,དྲི་མ་,དང་,བྲལ་བ་,མེད་པ།,བྲི་བ་,མེད་པ།,གང་བ་,མེད་པ,འོ།།,,,,,,,,,,,,,,,,,,,
sharipu,tetar,chö,thamché,tongpa nyi,té,tsennyi,mepa,ma kyepa,ma gakpa,trima,mepa,trima,tang,tralwa,mepa,triwa,mepa,kangwa,mepa,'o,,,,,,,,,,,,,,,,,,,
Shariputra,like this,phenomenon,all,emptiness,THEN,characteristic,has not,unproduced,unceased,stain,has not,stain,and,separated,has not,deficient,has not,fulfilled,has not,END,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤཱ་རིའི་བུ།,དེ་ལྟ་བས་ན་,སྟོང་པ་ ཉིད་,ལ་,གཟུགས་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharipu,tetawéna,tongpa nyi,la,zuk,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shariputra,likewise,emptiness,TO,form,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚོར་བ་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsorwa,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feeling,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
འདུ་ཤེས་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dushé,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discrimination,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
འདུ་བྱེད་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duché,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compositional factors,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
རྣམ་པར་ ཤེས་པ་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nampar shepa,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consciousness,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
མིག་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mik,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eye,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
རྣ་བ་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nawa,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྣ་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nose,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྕེ་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
che,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tongue,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ལུས་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lü,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
body,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡིད་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mind,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གཟུགས་,མེད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zuk,mé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form,has not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
